sample_name,pop,country,sex,stage,latitude,longitude,collector,catching_method,host_plant_genus,date,notes,,,
STF_M56,Stromfirth,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
STF_M59,Stromfirth,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
URA_M2,Uradale,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
URA_M3,Uradale,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
URA_M7,Uradale,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
URA_M11,Uradale,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
URA_F1,Uradale,UK,F,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
URA_F2,Uradale,UK,F,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
URA_M1,Uradale,UK,M,adult,60.23966,-1.25153,Kevin Learmonth,by_hand,erica,,,,,
SP1,Leon,Spain,NA,larval,NA,NA,Hugo_Robles,by_hand,,,,,,
SP2,Leon,Spain,NA,larval,NA,NA,Hugo_Robles,by_hand,,,,,,
SP3,Leon,Spain,NA,larval,NA,NA,Hugo_Robles,by_hand,,,,,,
SP4,Leon,Spain,NA,larval,NA,NA,Hugo_Robles,by_hand,,,,,,
SP5,Leon,Spain,NA,larval,NA,NA,Hugo_Robles,by_hand,,,,,,
SP6,Leon,Spain,NA,larval,NA,NA,Hugo_Robles,by_hand,,,,,,
BNS01,Brecknockshire,UK,M,adult,51.93926,-3.2597,Norman Lowe,light,NA,21/11/2025,,,,
BNS02,Brecknockshire,UK,M,adult,51.93926,-3.2597,Norman Lowe,light,NA,06/12/2025,,,,
BNS03,Brecknockshire,UK,M,adult,51.93926,-3.2597,Norman Lowe,light,NA,06/12/2025,,,,
BNS04,Brecknockshire,UK,M,adult,51.93926,-3.2597,Norman Lowe,light,NA,06/12/2025,,,,
BNS05,Brecknockshire,UK,M,adult,51.93926,-3.2597,Norman Lowe,light,NA,06/12/2025,,,,
BNS06,Brecknockshire,UK,M,adult,51.93926,-3.2597,Norman Lowe,light,NA,06/12/2025,,,,
BWK01,Berwickshire,UK,M,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,acer,25/11/2025,,,,
BWK01,Berwickshire,UK,M,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,quercus,25/11/2025,,,,
BWK02,Berwickshire,UK,M,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,quercus,05/12/2025,,,,
BWK02,Berwickshire,UK,M,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,acer,05/12/2025,,,,
BWK1,Berwickshire,UK,F,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,acer,05/12/2025,,,,
BWK1,Berwickshire,UK,F,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,quercus,05/12/2025,,,,
BWK4,Berwickshire,UK,F,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,quercus,07/12/2025,,,,
BWK6,Berwickshire,UK,F,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,quercus,09/12/2025,,,,
BWK7,Berwickshire,UK,F,adult,55.7743,-2.36023,Sheila Sim,lobster_pot_trap,quercus,09/12/2025,,,,
CAM01,Cambridgeshire,UK,M,adult,52.32923,-0.29184,Sharon Hearle,by_hand,quercus,09/12/2025,,,,
CAM03,Cambridgeshire,UK,M,adult,52.32923,-0.29184,Sharon Hearle,by_hand,fraxinus,09/12/2025,,,,
CAM06,Cambridgeshire,UK,M,adult,52.32923,-0.29184,Sharon Hearle,by_hand,quercus,09/12/2025,,,,
CAM08,Cambridgeshire,UK,M,adult,52.32923,-0.29184,Sharon Hearle,by_hand,acer,10/12/2025,,,,
CAM1,Cambridgeshire,UK,F,adult,52.32923,-0.29184,Sharon Hearle,by_hand,quercus,09/12/2025,,,,
CAM3,Cambridgeshire,UK,F,adult,52.32923,-0.29184,Sharon Hearle,by_hand,fraxinus,09/12/2025,,,,
